"","Dist","nu","n","HL1Error","HL1Iter","ML2Error","ML2Iter","ArithError","MedError","MedIter","Sample"
"1","Cayley",0.5,10,0.140194041355739,14,0.150330333631967,7,0.144839704418108,0.161904824985891,21,1
"2","Mises",0.5,10,0.185249980314343,13,0.20519779762977,6,0.211543023792695,0.187275650229625,14,2
"3","Fisher",0.5,10,0.572475001355335,21,0.464996591366813,7,0.438042969020011,0.613986586952876,22,3
"4","Cayley",0.5,10,0.543375379228012,20,0.554218483492606,7,0.559697915488215,0.50911604460001,44,4
"5","Mises",0.5,10,0.0426018047396177,23,0.202913720668517,7,0.0628045501191709,0.042415989745344,20,5
"6","Fisher",0.5,10,0.360007722277167,13,0.359206280560073,6,0.367238547397767,0.366060093637245,14,6
"7","Cayley",0.5,10,0.484397158787965,27,0.393643853173635,6,0.40187738360471,0.559599763003777,26,7
"8","Mises",0.5,10,0.0619218868342123,18,0.215847615682895,7,0.160813193342963,0.0619188377315591,14,8
"9","Fisher",0.5,10,0.541964989582529,17,0.437058836708993,7,0.447014536659024,0.568522585702125,13,9
"10","Cayley",0.5,10,0.236935110423482,15,0.249792743276235,7,0.2716504454309,0.259097301741413,15,10
"11","Mises",0.5,10,0.111582769135259,17,0.23211315000944,6,0.194470962642489,0.120456133033858,16,11
"12","Fisher",0.5,10,0.451175009670309,15,0.438791645248898,7,0.429025161596598,0.458599847283278,17,12
"13","Cayley",0.5,10,0.585939354011418,20,0.349658001241571,8,0.416472119891405,0.796811552098217,24,13
"14","Mises",0.5,10,0.162468481502232,20,0.126952846072086,8,0.2022456301256,0.218353906093937,21,14
"15","Fisher",0.5,10,0.489795692904713,18,0.347096967884499,8,0.443826218110995,0.594418361376551,46,15
"16","Cayley",0.5,10,0.221645180073552,37,0.278882354496427,6,0.255174269208073,0.214035553846312,38,16
"17","Mises",0.5,10,0.124275330403083,17,0.137238460913314,7,0.0843840227661017,0.171270631046731,15,17
"18","Fisher",0.5,10,0.650502761285175,20,0.487553110032265,8,0.546680482139822,0.702111324168959,22,18
"19","Cayley",0.5,10,0.375684846242116,15,0.368619093110484,6,0.377886758046297,0.404816847644181,23,19
"20","Mises",0.5,10,0.0771680001741899,19,0.324474740401213,6,0.238236073044238,0.0570862703018351,29,20
"21","Fisher",0.5,10,0.13817264593919,20,0.232767342012225,6,0.193724501902931,0.129347263020643,22,21
"22","Cayley",0.5,10,0.375647233833195,22,0.250233411204101,6,0.272771593415178,0.435418243986558,34,22
"23","Mises",0.5,10,0.155832553716085,21,0.616553168101884,7,0.413263200112977,0.115354166301009,20,23
"24","Fisher",0.5,10,0.615050126332745,20,0.593291170086349,9,0.630902712637073,0.631194686004712,28,24
"25","Cayley",0.5,10,0.31706537450081,18,0.382975956851049,7,0.358713542748251,0.291354403420085,35,25
"26","Mises",0.5,10,0.672652845862084,26,1.26787981205476,10,0.505232659551499,0.240487530314734,25,26
"27","Fisher",0.5,10,0.477815369422747,16,0.523259336591342,6,0.516918478371199,0.483739868911338,17,27
"28","Cayley",0.5,10,0.266450805632772,18,0.281222870331639,6,0.283677675374427,0.27846053241919,23,28
"29","Mises",0.5,10,0.0701796486725167,13,0.435447572070956,8,0.148196563174505,0.0701894466845491,45,29
"30","Fisher",0.5,10,0.43608775588907,16,0.367027069663932,6,0.399695340826491,0.466970831661847,13,30
"31","Cayley",0.5,10,0.303858641967396,15,0.380040372274156,6,0.376915757151718,0.297432668398987,16,31
"32","Mises",0.5,10,0.198691302209531,27,0.333668466910068,6,0.302940499678845,0.178890791056527,20,32
"33","Fisher",0.5,10,0.321715191667608,14,0.400516777932371,6,0.395297459148391,0.314694099472193,15,33
"34","Cayley",0.5,10,0.617035266748262,23,0.706494538738456,7,0.658360418409594,0.57041189621535,26,34
"35","Mises",0.5,10,0.320052831497668,15,0.371195195381037,6,0.349487625843997,0.32199794640344,18,35
"36","Fisher",0.5,10,0.257145700318794,14,0.262379713228441,6,0.270232320140934,0.262518439118974,18,36
"37","Cayley",0.5,10,0.402219695166052,15,0.413340082205184,8,0.399059549438964,0.39266546653335,22,37
"38","Mises",0.5,10,0.0818549014437361,17,0.317799839860354,7,0.260787625942358,0.0647128665247926,16,38
"39","Fisher",0.5,10,0.49295298924539,18,0.583195428288952,7,0.578169619489622,0.480345459035587,14,39
"40","Cayley",0.5,10,0.617472452120995,18,0.643263682774648,6,0.645800216961127,0.611174627815608,17,40
"41","Mises",0.5,10,0.170622267852529,24,0.207433211758591,7,0.194238996430276,0.198079542835989,45,41
"42","Fisher",0.5,10,0.541316336398241,23,0.619433945600914,7,0.600471350680101,0.543727376199078,16,42
"43","Cayley",0.5,10,0.505788793026427,18,0.533887711064829,7,0.524336257338082,0.499478049303177,32,43
"44","Mises",0.5,10,0.0823578394674126,25,0.217298377480661,5,0.215752472002512,0.0733037766630595,25,44
"45","Fisher",0.5,10,0.296771339609026,26,0.256954682386402,7,0.323366694877362,0.315163510823571,37,45
"46","Cayley",0.5,10,0.281390607750109,18,0.120561842706991,7,0.158957524410265,0.360744635229819,16,46
"47","Mises",0.5,10,0.606762861429219,24,0.716471304132533,7,0.664659379651278,0.492329786983846,28,47
"48","Fisher",0.5,10,0.511077547129615,18,0.729158644406341,8,0.487476349631996,0.464298102205953,29,48
"49","Cayley",0.5,10,0.508216347564876,17,0.521650138106746,6,0.513311694427968,0.504821311719266,13,49
"50","Mises",0.5,10,0.507704213746465,23,0.647814944181679,7,0.60902449370891,0.391420171758595,25,50
"51","Fisher",0.5,10,0.121477553794838,22,0.127877925918606,7,0.149572177759233,0.125394743420729,26,51
"52","Cayley",0.5,10,0.491507884098597,20,0.364209559982704,7,0.399410707965053,0.554192295866972,32,52
"53","Mises",0.5,10,0.302612714770081,14,0.430163281961449,6,0.395553549198703,0.271634552564261,14,53
"54","Fisher",0.5,10,0.27474010183901,17,0.492950401872943,7,0.367955152855137,0.189777474081193,22,54
"55","Cayley",0.5,10,0.670194213259803,23,0.676444321348937,7,0.675544833767415,0.694798326273552,20,55
"56","Mises",0.5,10,0.178137000434554,44,0.374520135671409,8,0.25965483692248,0.177682340870688,131,56
"57","Fisher",0.5,10,0.304710122407568,17,0.205288500204813,7,0.229081248710905,0.350038671976601,25,57
"58","Cayley",0.5,10,0.187745516511747,19,0.234361057767677,7,0.236054433710402,0.185500488157232,24,58
"59","Mises",0.5,10,0.142516871423387,35,0.753408778537801,9,0.354341789072098,0.092089126013896,25,59
"60","Fisher",0.5,10,0.447636062225055,14,0.448956525128192,8,0.465297584185114,0.465934023850968,18,60
"61","Cayley",0.5,10,0.282982091657979,15,0.235942648194488,7,0.25192935822399,0.310408102015258,21,61
"62","Mises",0.5,10,0.17432935790231,21,0.271605861628104,7,0.276993799456698,0.16631964204051,17,62
"63","Fisher",0.5,10,0.311924318227582,23,0.311420865900748,7,0.268371011973937,0.358140296953909,25,63
"64","Cayley",0.5,10,0.823919146385754,27,0.701602333583594,6,0.72673650267858,0.860823191978184,21,64
"65","Mises",0.5,10,0.0549665576376097,19,0.112018911447923,5,0.100660364053751,0.0570292642482371,20,65
"66","Fisher",0.5,10,0.288807230328348,19,0.0984623172216029,7,0.166526842807883,0.375317984934867,16,66
"67","Cayley",0.5,10,0.357454235286724,23,0.176801535536971,7,0.210975751307989,0.516297525777323,37,67
"68","Mises",0.5,10,0.139322955223642,17,0.304253587490109,7,0.183575522391025,0.170861756973782,13,68
"69","Fisher",0.5,10,0.143187387439742,23,0.248001772464967,6,0.236673757665017,0.13989736405542,27,69
"70","Cayley",0.5,10,0.673327762034563,24,0.632023079820811,7,0.633688562953177,0.68002501737334,27,70
"71","Mises",0.5,10,0.088580414423866,32,0.383881397822872,5,0.343954349590091,0.0528377316576035,30,71
"72","Fisher",0.5,10,0.251687687104264,14,0.104570972143343,8,0.128001460477262,0.335039243220997,17,72
"73","Cayley",0.5,10,0.277224760134226,20,0.150782700582277,6,0.163710046676341,0.362355008143884,20,73
"74","Mises",0.5,10,0.0936276050447924,40,0.410342222734031,6,0.24264124971196,0.0714741544066513,29,74
"75","Fisher",0.5,10,0.432618130043552,16,0.414009136904926,6,0.417177203561496,0.450413786926392,14,75
"76","Cayley",0.5,10,0.502871493103441,17,0.368011777053781,7,0.409676187115684,0.579780621178571,17,76
"77","Mises",0.5,10,0.244408811258614,43,0.341064367806372,6,0.329412633692578,0.213635363198387,48,77
"78","Fisher",0.5,10,0.392310837208213,23,0.318280266135106,7,0.332424316101008,0.470544927690502,47,78
"79","Cayley",0.5,10,0.399362891356592,21,0.323615361737675,6,0.36828083760661,0.44921664685266,26,79
"80","Mises",0.5,10,0.132958414662566,21,0.540024047863125,7,0.279285290053078,0.0969655428406239,30,80
"81","Fisher",0.5,10,0.416648716184514,17,0.218503325568416,8,0.287747691662489,0.353910744997636,18,81
"82","Cayley",0.5,10,0.0217201287094718,22,0.136064122630021,8,0.090078967124017,0.0619534581618364,39,82
"83","Mises",0.5,10,0.0973675772992164,17,0.459321347442112,7,0.219732588099824,0.0512541920970253,22,83
"84","Fisher",0.5,10,0.179970312990762,14,0.300734447510931,8,0.153656743201459,0.196919760893704,15,84
"85","Cayley",0.5,10,0.188246750134777,16,0.18791830988769,6,0.181576313796454,0.196726785197529,17,85
"86","Mises",0.5,10,0.462386050314409,41,0.369060655743296,6,0.39513444231072,0.462410891883446,21,86
"87","Fisher",0.5,10,0.205224917798956,24,0.297785388067457,8,0.228807660019741,0.271155298166698,43,87
"88","Cayley",0.5,10,0.264529008217896,19,0.213265811242,6,0.224324300299287,0.309591235165797,32,88
"89","Mises",0.5,10,0.117437816243304,19,0.315766445819215,7,0.180360693419047,0.0877898735398298,39,89
"90","Fisher",0.5,10,0.159685401339474,14,0.199647906651606,7,0.145917917981864,0.135497337723828,20,90
"91","Cayley",0.5,10,0.401402108441299,18,0.414979054304912,7,0.391938483785081,0.456085590069937,16,91
"92","Mises",0.5,10,0.17119107257946,13,0.129202571313629,6,0.126133792209196,0.180447800591505,14,92
"93","Fisher",0.5,10,0.317910964656618,15,0.444802771837349,7,0.418359119529925,0.318844966714339,16,93
"94","Cayley",0.5,10,0.133187628418403,16,0.170267298384704,7,0.173169215935863,0.127657600978141,22,94
"95","Mises",0.5,10,0.308818487028353,22,0.512421752940593,8,0.33178921724095,0.187091094172126,25,95
"96","Fisher",0.5,10,0.305071940475716,15,0.267615604985089,7,0.283224647059337,0.331271782689749,19,96
"97","Cayley",0.5,10,0.300052494984998,15,0.306312461290241,7,0.290451124423923,0.295745230694055,24,97
